ITEM,PENET,PCYCLE,PRICE,PVTSH ,PUR/HH 
BEER,62.3,11.1,46,5.16,0.4
WINE,42.9,5.8,59,4.58,1
FRESH_BRE,98.6,26.6,21,1.3,39.4
CUPCAKES,27.4,2.5,60,1.11,3.5
MUFF/BAGE,56,5.9,59,1.24,32.6
PIES/CAKE,30.6,3.2,71,2.23,18.2
PASTRY,64.3,6.3,58,1.77,17
SNACK_PAS,60.4,6.7,54,1.4,1.1
SNDWCH_RO,82.1,7.6,48,1.12,56.3
TABLE_ROL,53.8,3.5,81,1.19,35.2
BREATH_FR,34,3.1,75,0.73,0
CANDY,91.5,10,49,1.82,2.4
PLAIN_MIN,20,2.6,74,1.13,14.7
BUBBLE_GU,33.1,3.8,68,0.61,2.8
CHEWING_G,55.4,5.8,62,0.72,0
BUTTER/MA,98.6,16.1,30,1.46,20.1
CREAM_CHE,71.6,4.7,72,1.28,33.4
GRATED_CH,48.5,2.4,105,1.88,19.2
NATURAL_C,84.2,8,54,2.35,25.8
PROCESSED,76.9,7.9,53,2.05,22.9
RICOTTA_C,19.2,2.7,93,2.18,20.3
SNACK_CHS,51.9,3.2,77,1.76,10.5
SPECLTY_C,11.1,2.1,84,1.65,31.9
STRING_CH,9.4,2.8,63,1.54,0
COFFEE_CR,31.2,6,66,1.26,14.9
COTTAGE_C,79.6,8.7,48,1.31,32.6
CREAM,49.2,6.7,66,1.05,38.2
SOUR_CREA,69.5,5,70,1.03,33.9
PRP_SNCKD,47.3,3.3,77,1.19,11.6
EGGS,98,17.9,28,1.09,67.9
DAIRY_DRI,5.7,2.6,59,1.67,15.4
MILK,98.7,37.7,14,1.81,46.7
YOGURT,63.8,9,44,1.56,19.2
FRZ_BKFST,51.3,5.1,63,1.74,5.2
FROZ_FISH,63,4.4,69,3.29,6.8
FROZ_BERR,25.9,2.3,79,1.85,63.8
FROZ_MEAT,21.9,2.9,75,3.22,5.5
FROZ_PIZZ,64.7,5.9,62,3.07,13.2
FROZ_POT_,39.3,3,78,1.75,9.7
FROZ_POTA,66.1,5.4,65,1.58,28.8
FROZPKGPL,42.5,3.9,68,3.48,2.6
FROZ_DINN,52,5,63,4.11,1.9
FROZ_ENTR,76.3,7.8,53,3.59,1.1
FROZ/RFGD,66.2,5.4,70,1.36,24.7
SPCLTY_DO,33.6,3.6,74,1.25,1.8
FRZ_SID_D,17.1,2.7,80,1.82,0
FROZ_SNAC,24.3,2.4,85,2.28,0
PLN_FRZ_V,86.3,8.7,54,1.72,60.5
SPCL_FRZ_,60,4.1,74,1.78,28.1
FROZ_BKD_,33.7,4.5,61,1.35,1
FROZ_WT_B,43.5,3.7,69,2.29,0
FROZ_PIE,37.3,2.5,82,2.41,1
PIE_CRUST,38.3,2.5,83,1.54,13.8
RFG_WHP_D,11.1,2.9,59,1.61,0
RFG_WHP_T,71.7,4,77,1.14,27.1
FROZ_NVLT,79,7.3,42,2.43,0.4
ICRM/FRZ_,93.3,10.4,43,2.6,34.6
ICES,2,2.1,43,1.8,0
SHERBET,29.6,2.1,71,1.71,36.1
EXT_ANALG,7.3,1.4,92,2.77,0
INT_ANALG,58.8,3.5,82,2.95,24.4
BBY_CARE_,8.5,2.3,71,2,30.3
BBY_CARE_,16.6,2,94,2.11,30.3
COLD/SINU,29.4,2.5,91,3.33,7.7
CHST_RUB/,4.2,1.3,120,2.52,0
COUGH_DRO,29.4,2.3,94,1.25,10.5
COUGH_SYR,14.8,1.6,111,3.23,10.9
LIQ_COLD_,8.5,1.7,107,3.97,8.6
THRT_SPRY,2.7,1.1,118,3.02,0
NASAL_SPR,6.5,2.6,85,3.7,0
DEODORANT,54.7,3.3,85,2.37,0.5
CNTCT_LEN,5.5,2.8,79,5.2,0
EYE_DROPS,6.3,1.6,108,2.8,0
FRST_AID_,29,1.6,103,1.93,12.6
FRST_AID_,21.1,1.6,94,1.35,72.5
FEM_HYGIE,7.2,2.4,81,2.1,0
MENST_PAI,3.5,1.8,92,2.6,0
HAIR_COND,25.2,2.5,89,2.11,5
HAIR_SPRA,28.2,3.2,84,2.02,1.5
HAIRSTYL_,7.7,1.7,110,2.48,0
MOUSSE,12.4,1.7,87,1.95,0
SHAMPOO,50.1,3.4,82,2.16,6.4
NAIL_POL_,10.1,1.3,129,1.04,42.4
KNEE_HI_,12.3,1.9,95,2.08,17.3
PANTYHOSE,28.3,3.2,76,3.18,10.4
ANTACID_L,17.6,2.1,100,3.07,6
ANTACID_T,26.9,2.7,89,2,0
DIARRHEA_,1.8,1.2,104,3.1,0
DIET_AID/,4.8,1.9,66,4.98,0
DIET_AID/,0.7,2.8,45,6.8,0
EPSOM_SAL,2.3,1.3,91,1.12,32.4
HMRDL_CRE,1.8,1.4,115,3.49,0
HMRDL_TRT,1.8,1.6,97,4.6,0
LAXATIVE_,8,2.2,93,2.86,0
LAXATIVE_,4.8,2,75,4.8,12.2
PAIN_RELI,1.1,1.6,84,3.61,0
SLEEP_PIL,1.7,3,65,2.35,0
TRVL_SICK,0.7,1.6,103,2.69,0
DENTURE_C,7.3,3.3,84,2.72,0
DENTURE_T,11.1,2.3,102,2.55,0
MOUTHWASH,31.3,2.8,88,2.55,13.1
BREATH_RE,1.5,1.7,79,2.17,0
TOOTH_CLN,69.9,4.2,77,1.64,0.8
MISC_ORL_,1.9,1.3,75,2.86,0
COTTON/BA,11.8,1.6,115,1.1,50.1
COTTON_SW,22.5,1.7,120,1.5,21
DENTAL_FL,10.4,1.4,116,1.3,12.2
HAIR_NOTI,17.2,1.6,96,1.8,0
RAZRS/BLA,33.2,2.2,98,2.2,7.3
TOOTHBRSH,23.5,1.6,100,1.6,6.1
AFTER_SHA,6.8,1.6,121,3.34,0
SHVNG_CRE,21.8,1.8,115,1.73,0
DEPILATOR,1.8,1.4,88,2.84,0
SKN_CR_IM,1.7,1.2,74,2.41,0
ANTIITCH,5.9,1.4,85,2.88,0
BATH_ADDI,10.2,2.6,82,2,8.2
CHAPSTIK,9.7,1.4,119,1.14,0
PETRO_JEL,8.8,1.3,113,1.62,25.5
ACNE_AID,9.8,2,87,3.05,0
LOTION,32.1,2.2,100,2.5,5.4
SUNTAN_LT,3.5,1.1,48,5.05,0
TALCUM_PW,4.4,1.7,96,2.46,0
BAR_SOAP,87.4,6.9,60,1.35,0.5
HVY_DTY_S,6.9,1.9,97,1.06,0
LIQ_SOAP,28,2.4,95,1.45,0
AIR_FRESH,52.2,3.1,82,1.73,8.1
ALL_PRP_C,67.1,3.2,84,1.79,2.8
APPLNCE_C,3.1,1.3,111,1.86,0
BATH/MLDW,32.4,2.1,100,1.86,0
CLEANSERS,67,2.9,92,0.91,6.7
DRAIN_CLN,21.2,1.7,96,2.06,0
GLASS_CLN,43.6,1.8,102,1.35,12.2
AMMONIA,20.1,2.1,95,0.73,55.4
METAL_CLN,10.7,1.5,116,1.51,0
OVEN_CLNR,16,1.3,125,1.8,0
RUST_CLNR,5.3,1.4,104,2,0
SPCLTY_CL,1.9,1.3,122,2.9,0
TOILET_CL,51,2.9,88,1.42,6.9
CLEAN_TOO,70.7,3,91,1.1,6.8
DISH_DETE,88.7,5.5,72,1.31,7.1
DSHWSH_DE,47.5,4.9,73,2.14,8.8
LNDRY_DET,94,9.6,50,3.07,4.6
FLOOR_CLN,21.3,1.8,105,2.6,2
FD_STG_BG,76.1,3.7,81,1.62,50
PAPER_BAG,20.2,1.9,121,0.66,34.3
GARBAGE_B,66.4,5.1,70,1.94,33.5
DISP_WRAP,86,4.5,80,1.96,28.8
FURN_POLI,41.7,1.9,112,2.02,2.4
INSCT_RPL,3.9,1.1,38,3.32,0
PESTICIDE,26.1,1.6,69,3.71,1.3
PEST_TRAP,13.3,1.4,72,2.16,0
BLEACH,82.3,5.2,72,1.3,27.4
FAB_PROTE,0.9,1.1,73,5.38,0
FAB_SOFTE,72.8,5.5,73,1.84,18.3
LNDRY_SAN,6.6,2.3,63,1.78,0
PRESOAK,5.4,2.7,76,2.21,0
STAIN_REM,32.7,2.4,96,1.88,2.7
SPOT_REMO,1.1,1.1,115,2.34,0
STARCH,21,2.5,91,1.28,2.8
STATIC_RE,2.5,1.2,127,2.7,0
WATER_SFT,2.2,4.2,76,3.64,0
LIGHT_BUL,49.4,2.2,101,2.9,7.5
RG/UPHL_C,11.6,1.3,104,3.58,0
RUG_DEOD,15.9,2.3,82,1.94,10.2
BOTTLED_W,28.1,6,56,1.56,23.3
RTD_FRU_J,90.7,13.9,40,1.98,26.6
RECNST_JU,32.5,2,98,1.04,28.4
VEG_JUICE,49.4,4.2,73,1.28,18.9
FROZ_FRT_,73.5,10.5,47,1.98,44.2
RTD_FRT_D,77.7,8.5,49,1.89,0
FRT_DRNK_,6.6,2.6,54,1.92,0
FRZ_FRT_D,39.1,4,54,1.42,35.4
CAN/PWD_M,63.1,4.5,72,1.44,51.1
CRB_SFT_D,97.9,27,22,2.75,8.8
COFFEE,90.4,10.7,48,4.78,7.8
GRAIN_BEV,1.5,2.4,93,3.24,0
SPC_DIETD,5.6,2.3,54,3.34,0
BFST_DRNK,8.8,2.8,71,2.65,5.2
FRST_DRNK,2.4,1.6,59,1.12,0
PWD_SFT_D,53.6,5.9,42,1.9,5.3
COCOA_MIX,42.2,2.8,96,1.76,14.6
MILK_MODI,24.9,2.3,96,2.2,8.4
TEA,75,5.4,65,2.4,20.3
PREP_TEA_,2.9,3.5,35,1.65,0
HOT_DRNK_,2.9,1.7,86,1.82,0
BKNG_INGR,85.4,5.3,70,1.86,15.3
CAKE_DECO,18.6,1.5,98,1.4,0
PIE_FILLI,50.5,2.5,80,1.58,5.2
PIE_SHELL,19.2,1.8,82,1.26,11.7
BAKE_MIX,68.1,4.1,77,1.45,3.2
STUFFING_,74.6,4.2,79,1.3,8.6
GRITS,10.5,3.1,91,1.08,0
HOT_CEREA,67.6,3.9,86,1.74,8.8
INST_BRKF,7.1,3.3,53,2.79,19.1
PNCKS_ETC,34.7,2.3,99,1.2,13.2
RTE_CEREA,96.9,16.7,31,2.78,3.5
TOASTR_PS,26.6,4.9,55,1.43,9.5
COOKIES,94.3,13.4,36,2.1,11.1
BRD_STICK,16.2,2.5,69,1.17,6.8
CRACKERS,97.9,11.7,42,1.79,14.2
BROWNIE_M,38.4,2.6,81,1.63,8.5
CAKE_MIX,74.6,4.6,71,1.44,7.8
COOKIE_MI,6.1,1.9,79,2.39,0
DRY_TOPG_,7.9,1.5,90,1.3,15.8
GELATIN_M,68.9,3.8,75,1,5.5
PUDDING_M,66.8,3.8,73,1.06,5.9
OTH_DESS_,25.6,1.8,79,1.58,0
DIP_MIXES,15,2.1,83,0.78,0
DRIED_FRU,69.2,4.9,69,1.92,25.3
ADD_MEAT_,29.3,3.4,72,1.68,3
DHYD_LUN/,2,2.2,60,1.24,0
DRY_ITAL_,5.9,3,75,1.68,0
PIZZA_KIT,6.3,3.2,69,1.88,0
DRY_SLD_M,3.2,1.5,47,1.51,0
NDL_SDE_D,69.5,5.3,67,0.99,22.4
DRY_GRAIN,6.9,1.4,119,0.95,12.1
DRY_LEGUM,42.8,3,93,0.87,56.2
RICE,78.3,4.8,74,1.42,15.7
DRY_POTAT,46.8,3.3,81,1.28,16.5
CRN/WHT_M,22.7,2.9,92,1.11,4
FLOUR,78.4,3.8,91,1.08,18.4
FROSTING,48.5,2.9,83,1.51,10.2
PASTA,92.8,8.6,53,1.08,20.8
SEAS_MIX,63.7,4.9,70,1.01,6.9
MEAT_SNCK,13.8,2.2,73,2.12,9.9
POPCORN,56.1,3.8,80,1.81,20.6
BKF_SNK_B,37.4,5,52,2.06,5.8
NUT_SNK_M,7.1,2.1,64,2.2,0
SALTED_SN,95.5,17.7,31,1.94,16.3
NUTS,75.8,4.9,68,2.47,22.1
PEPPER,49.9,1.9,113,1.6,46.3
SALT,75.7,2.7,102,0.74,36.4
SALT/PPR_,3.7,1.2,113,0.86,0
SPICE/SEA,81.3,3.6,82,1.92,10.4
SUGAR,92.4,7.6,58,1.6,58
SUGAR_SUB,31.5,3.5,83,2.38,0
BATH_TISS,97.3,14.4,35,1.49,10.3
DISP_CUPS,43.6,3.5,78,1.49,8.5
CUP_DSPNS,0.9,1.1,84,1.23,0
DISP_DIAP,17.3,7.9,43,8.94,7.1
DISP_PLT/,57.4,3.9,71,1.67,50
FACIAL_TI,83.1,7.9,59,1.38,29.5
MOIST_TOW,14.1,3.5,66,2.3,29.5
FEM_PROTE,45.3,4.3,76,3.07,8
MISC_PAP_,59.8,2.3,103,0.9,17.3
PAPER_NAP,74.9,5.2,72,1.03,24.8
PAPER_TOW,93.7,12,43,1.17,13.7
CAT_FOOD,36.4,21.3,25,2.72,10.7
CAT_TREAT,6.1,3.8,69,0.99,0
CAT_LITTE,19.8,6,59,2.18,21.5
DOG/CAT_S,27.6,3.1,75,2.6,2.2
DOG_FOOD,45.6,15,34,3.26,11.8
DOG_TREAT,30.2,8.2,56,1.69,11.3
BABY_FOOD,18.3,7.4,37,2.4,0
BABY_FORM,10.4,7.1,35,4.48,0
CAN/FRG_F,92.6,9.2,48,1.8,10.3
CAN_SHELL,28,2.6,81,2.17,0
CAN/BOTT_,95.2,10.4,47,1.47,42
CANNED_HA,21.3,2,93,5.99,5
CAN_MEAT,50.8,4.7,66,1.72,4.5
CAN_TOMAT,63.8,5,69,1.1,44
TOM_PST/S,76.7,5.8,67,1.08,2.4
CAN_VEG,96.9,12.7,39,1.46,38.9
CATSUP,79.7,4.1,82,1.26,19.3
HORSERADI,20.5,1.7,121,0.86,0
MUSTARD,72.3,2.6,99,0.82,24.5
CAN_PUDDI,18.9,3.2,59,1.72,5.9
ICE_CRM_C,22.9,2.1,70,1.07,7.1
DESSERT_T,45.3,2.7,83,1.43,11
MARSHMLLW,46.3,2.2,95,0.77,31.1
FRUIT_BUT,7.5,1.8,94,1.28,19.3
NOHEY,21.7,2.1,102,1.85,32.1
JAM/JEL/P,72.8,4.2,76,1.64,25.4
PEANUT_BT,82,5.1,73,2.09,24.4
MARNTD_VE,24.6,2.3,84,1.4,12.5
OLIVES,59.9,3.9,78,1.35,36
PEPPERS,28.9,3.1,78,1.3,6.5
PICKLES,74.5,4.5,71,1.58,23.6
PIMIENTOS,18.5,2.2,91,0.76,2.6
RELISH,40.6,2,91,1.17,34.8
SAUERKRAU,41.7,2.6,94,0.77,26.4
CANNED_ME,32.6,3.7,71,1.84,3.5
BAKED_BEA,72.3,4.7,61,0.88,9.9
CANNED_BR,0.7,1.3,98,1.64,0
CHILI_FIX,37.1,3.8,74,1.57,9.2
CANNED_PA,47.4,5.2,59,2.47,3.4
PREP_MEX_,55.6,6.1,65,1.22,8.3
PREP_ORIE,51.1,3.3,78,1.61,0.7
PREP_SALA,16.1,2.4,65,1.46,24.2
SALAD_DRE,87.8,6.8,56,1.47,1.3
SALAD_TOP,32.5,2.3,92,1.06,4.3
SANDWCH_S,8.1,2.2,91,1.31,11.1
VIS_DRS/M,94.4,6.1,64,1.56,8.5
BBQ_SAUCE,51.6,2.7,70,1.37,5.8
CHILI_SAU,10.2,2.1,91,1.18,8.6
HOT_SAUCE,10.3,2.1,95,0.71,0
MT_SAU/GR,37.9,3.1,83,1.12,0
MEX_SAUCE,41.4,3.9,75,1.49,0
ORIEN_SAU,32.8,2,103,1.33,0
PRP_ITL_S,70.8,6.3,62,1.74,0
SEAFD_SAU,20.1,1.6,112,1.01,0
STK/SMK_S,43.2,2.2,101,1.57,1.8
TOBASCO_S,6.6,1.5,112,1.24,0
OTHER_SAU,8,1.6,90,1.23,0
LARD,4.8,2.5,89,1.39,0
OIL,89.6,5.2,75,2.12,18.9
SHORTNING,54.6,3.1,95,2.03,17.4
PREP_SOUP,97.9,13.9,37,1.54,2.1
BOUILLON,33.8,2,111,1.12,3.9
SYRUP/MOL,71.1,3.2,93,1.74,17.2
VINEGAR,61.4,2.4,92,1.09,50.6
COOK_WINE,5.1,1.5,121,1.94,0
BCN/MT_ST,82.9,7.3,57,2.36,14.3
BKFST_SAU,66.4,5.1,69,2.09,4.5
FRANKS,85.4,7.5,51,1.96,8.7
SPEC_SAUS,34.9,2.7,79,2.49,0
OTHR_RFG_,2.7,1.6,87,2.02,0
RFG_MEAT,77.4,11.2,42,2.13,16.2
RFG_MT_SP,4.3,2.3,82,1.37,0
CIGARETTE,46.5,22.6,28,6.5,8.7
CIGARS,3.1,7.1,43,1.8,0
NON_SMK_T,6.9,10.9,40,2.9,0
SMOK_TOBA,2.7,7.5,46,2.88,0
SMOK_ACCE,19.1,2.1,94,1.1,4.4
BATT/FLSH,39.8,2.2,92,2.8,2.7
CHARCOAL,23.9,2,59,3.03,24.8
CHARC_LIG,14.5,1.7,70,1.61,37.9
CAMERA_SU,2.2,1.4,101,2.54,0
FILM,17.3,1.8,90,4.4,2.4
FOIL_PANS,19.9,1.7,94,1.7,6.4
MAGAZINES,67.6,11.1,48,1.2,0
